id,name,type,role,sex,Showkategorie,Charts,Platz,Spotify,Instagram
ene,Energie/WM Germany ,2,2,-1,NA,NA,NA,-1,NA
gre,Greywood Records,2,2,-1,NA,NA,NA,-1,2895
kni,Knightvision,2,2,-1,NA,NA,NA,-1,912
vom,Vomit Records,2,2,-1,NA,NA,NA,-1,698
dra,Drakkar Entertainment,2,2,-1,NA,NA,NA,-1,1023
men,Menges Music,2,2,-1,NA,NA,NA,-1,NA
jaz,Jazzhaus Records,2,2,-1,NA,NA,NA,-1,1128
migm,MiG Music,2,2,-1,NA,NA,NA,-1,NA
csr,Chimera State Records,2,2,-1,NA,NA,NA,-1,NA
pop,pop-out Musik,2,2,-1,NA,NA,NA,-1,572
con,Concord Music Publishing ANZ,2,2,-1,NA,NA,NA,-1,12500
frt,FRTYFVE,2,2,-1,NA,NA,NA,-1,3872
reco,1603988 Records DK,2,2,-1,NA,NA,NA,-1,NA
domi,Dominance Records,2,2,-1,NA,NA,NA,-1,NA
sono,sonokraft,2,2,-1,NA,NA,NA,-1,318
thir,Thirty 8 Records,2,2,-1,NA,NA,NA,-1,153
doit,Do It Records,2,2,-1,NA,NA,NA,-1,NA
brow,Brownmamaslimmusic,2,2,-1,NA,NA,NA,-1,NA
gold,Golden Chocolate Records,2,2,-1,NA,NA,NA,-1,389
noxe,NO-X Entertainment,2,2,-1,NA,NA,NA,-1,2027
musi,MusicMakingPeople,2,2,-1,Na,NA,NA,-1,NA
thek,The Voice Kids,2,2,-1,1,NA,NA,-1,582000
thev,The Voice of Germany,2,3,-1,1,NA,NA,-1,574000
gira,Giraffenaffen ,2,3,-1,1,NA,NA,377698,1571
euro,Eurovision Song Contest,2,3,-1,1,NA,NA,-1,13000000
them,The Masked Singer,2,3,-1,1,NA,NA,-1,329000
prom,Promiboxen,2,3,-1,2,NA,NA,-1,2478
germ,Germanys Next Topmodel,2,3,-1,2,NA,NA,-1,933000
schl,Schlag den Raab,2,3,-1,2,NA,NA,-1,NA
prbb,Promi Big Brother,2,3,-1,2,NA,NA,-1,261000
escv,ESC Vorentscheid,2,3,-1,1,NA,NA,-1,NA
hss,Harald Schmidt Show,2,3,-1,2,NA,NA,-1,NA
vss,Verstehen Sie Spaß? ,2,3,-1,2,NA,NA,-1,115000
thed,The Dome,2,3,-1,1,NA,NA,-1,8329
thea,Theater for the New City,2,3,-1,3,NA,NA,-1,4833
john,John Wick: Kapitel 4,2,3,-1,3,NA,NA,-1,NA
mdru,MDR um 4,2,3,-1,3,NA,NA,-1,18400
dkdl,Der König der Löwen,2,3,-1,3,NA,NA,-1,33600
free,Free European Song Contest,2,3,-1,1,NA,NA,-1,5423
zdfm,ZDF-Märchenfilm “Schneewittchen und der Zauber der Zwerge”,2,3,-1,3,NA,NA,-1,NA
luke,Luke! Die Greatnightshow,2,3,-1,3,NA,NA,-1,NA
allt,All Together Now,2,3,-1,1,NA,NA,-1,NA
escd,ESC: deutscher Auswahlprozess,2,3,-1,1,NA,NA,-1,NA
thevo,The Voice: Comeback Stage by SEAT,2,3,-1,1,NA,NA,-1,NA
tin,TINA - Das Tina Turner Musical,2,3,-1,3,NA,NA,-1,9540
comi,Coming In,2,3,-1,3,NA,NA,-1,NA
fuck,Fucking Berlin,2,3,-1,3,NA,NA,-1,NA
nico,Nicos Weg (Deutsch lernen),2,3,-1,3,NA,NA,-1,NA
bett,Bettys Diagnose,2,3,-1,3,NA,NA,-1,11400
spez,Die Spezialisten - Im Namen der Opfer,2,3,-1,3,NA,NA,-1,NA
fami,Famiie Dr.Kleist,2,3,-1,3,NA,NA,-1,NA
soko,SOKO Stuttgart,2,3,-1,3,NA,NA,-1,16700
star,Starmania,2,3,-1,1,NA,NA,-1,20500
geor,Georgian Idol,2,3,-1,1,NA,NA,-1,NA
unse,Unser Lied für Israel,2,3,-1,1,NA,NA,-1,57
thb,TheBossHoss,1,4,2,NA,4,NA,650695,116000
nen,Nena,1,4,1,NA,4,NA,5572348,140000
xn,Xavier Naidoo,1,4,2,NA,4,NA,627825,439000
mah,Max Herre,1,4,2,NA,4,NA,621016,76600
sh,Samu Haber,1,4,2,NA,2,NA,98921,565000
fv,Fanta Vier ,1,4,2,NA,4,NA,757580,217000
sk,Stefanie Kloß,1,4,1,NA,2,NA,25644,NA
ab,Andreas Bourani ,1,4,2,NA,4,NA,1041993,224000
yc,Yvonne Catterfeld,1,4,1,NA,4,NA,277755,290000
mf,Mark Forster,1,4,2,NA,4,NA,2186413,110000000
mpk,Michael Patrick Kelly,1,4,2,NA,3,NA,1111783,3690000
ns,Nico Santos,1,4,2,NA,4,NA,2828764,630000
skyc,Stefanie Kloß und Yvonne Catterfeld,1,4,1,NA,NA,NA,-1,NA
shrg,Samu Haber und Rea Garvey,1,4,2,NA,NA,NA,-1,NA
jo,Johannes Oerding,1,4,2,NA,4,NA,1018981,437000
sc,Sarah Connor,1,4,1,NA,4,NA,1094937,725000
pm,Peter Maffay,1,4,2,NA,4,NA,802060,124000
gz,Giovanni Zarrella,1,4,2,NA,2,NA,201107,370000
btk,Bill und Tom Kaulitz,1,4,2,NA,4,NA,-1,NA
shd,Shirin David,1,4,1,NA,4,NA,2269113,65000000
rk,Ronan Keating,1,4,2,NA,4,NA,4061715,NA
rg,Rea Garvey,1,4,2,NA,4,NA,1139244,339000
ed,Elif Demirezer,1,4,1,NA,4,NA,789472,257000
am,Alice Merton,1,4,1,NA,2,NA,2307016,162000
sid,Sido,1,4,2,NA,4,NA,5045450,13000000
mj,Madeline Juno ,1,5,1,NA ,3,NA,1100691,829000
lot,Lotte,1,5,1,NA ,2,NA,1015441,108000
rr,Ruben Rodriguez,1,5,2,NA,1,NA,-1,9992
mr,Mathias Ramson,1,5,2,NA,1,NA,-1,1310
to,Tino Oac,1,5,2,NA,2,NA,1739,NA
ls,Lillo Scrimali,1,5,2,NA,1,NA,62,1819
dj,David Jürgens,1,5,2,NA,1,NA,66,NA
js,Jens Schneider,1,5,2,NA,1,NA,-1,2523
bb,Boygroup Blue,1,5,2,NA,1,NA,-1,231000
jk,Jules Kalmbacher,1,5,1,NA,1,NA,161,2439
sg,Steffen Graef,1,5,2,NA,1,NA,6,8874
you,YouNotUS,1,5,2,NA,3,NA,4682809,36700
hab,R3hab,1,5,2,NA,2,NA,18525936,26000000
mon,Montez,1,5,2,NA,4,NA,2545502,228000
njm,Norma Jean Martine,1,5,1,NA,2,NA,11861597,5409
mh,Michael Herberger,1,5,2,NA,1,NA,219,1140
mag,Mathias Grosch,1,5,2,NA,1,NA,-1,4036
cp,Christoph Papendieck,1,5,2,NA,1,NA,3664,3269
hf,Helene Fischer ,1,5,1,NA,4,NA,2928573,1000000
kls,Klaus Sahm,1,5,2,NA,1,NA,78533,7437
al,Alex Lys,1,5,2,NA,1,NA,146210,7319
tru,Truva,1,5,2,NA,1,NA,-1,1367
bea,Beatgees,1,5,2,NA,2,NA,289351,3681
ma,Mia Aegerter,1,5,1,NA,2,NA,9045,7335
qua,Quarterhead,1,5,2,NA,2,NA,3436492,17700
ac,Andy Chatterley,1,5,2,NA,1,NA,256,NA
nip,Nicolai Potthoff,1,5,1,NA,1,NA,105813,10800
pps,Patrick Pyke Salmy,1,5,2,NA,1,NA,17,3533
ah,Andreas Herbig,1,5,2,NA,1,NA,-1,NA
rm,Ricardo Munoz ,1,5,2,NA,1,NA,-1,14700
df,Daniel Flamm ,1,5,2,NA,1,NA,2857,1014
aba,Abaz,1,5,2,NA,1,NA,1247,44200
xp,X-Plosive ,1,5,2,NA,1,NA,-1,3022
lm,Leon Milla,1,5,2,NA,1,NA,202,1972
mig,Micheal Geldreich,1,5,2,NA,1,NA,886,1582
anc,Andrich Christoph ,1,5,2,NA,1,NA,-1,NA
svk,Sven Krüger,1,5,2,NA,1,NA,-1,NA
aw,Andreas Weinstein ,1,5,2,NA,1,NA,-1,NA
na,Neil Athale ,1,5,2,NA,1,NA,201,402
eg,Emi Green ,1,5,1,NA,1,NA,-1,NA
ng,Noel Gallagher ,1,5,2,NA,2,NA,1261184,948000
tk,Thomas Kirjonen,1,5,2,NA,1,NA,-1,NA
rs,Robert Stephenson,1,5,2,NA,1,NA,-1,NA
tg,Tobias Granbacka ,1,5,2,NA,1,NA,-1,NA
hs,Henning Sommer,1,5,2,NA,1,NA,-1,372
mp,Mareike Plota ,1,5,1,NA,1,NA,-1,376
lae,Lars Ehrhardt ,1,5,2,NA,1,NA,-1,831
tv,Tommi Vatanen ,1,5,2,NA,1,NA,-1,NA
tuk,Tuomo Korander ,1,5,2,NA,1,NA,-1,NA
kw,Kim Wennerström,1,5,1,NA,1,NA,17,NA
hb,Hannes Butzer ,1,5,2,NA,1,NA,-1,1531
nb,Nils Bodenstedt ,1,5,2,NA,1,NA,-1,NA
ash,Ashley Hicklin ,1,5,1,NA,1,NA,4327,492
km,Katharina Müller,1,5,1,NA,1,NA,-1,NA
