id,name,type,role,sex,Showkategorie,Charts,Platz,Spotify,Instagram 
nh,Nick Howard ,1,1,2,0,2,1,34062,13500
iss,Isabell Schmidt ,1,1,1,0,2,2,2055,1159
mil,Michael Lane ,1,1,2,0,2,3,37921,2183
jb,James Borges ,1,1,2,0,2,4,76,0
jlk,jamie-lee kriewitz,1,1,1,0,2,1,27912,46300
ayw,Ayke Witt ,1,1,2,0,2,2,1635,2796
tik,Tiffany Kemp,1,1,1,0,1,3,46,743
im,Isabel Ment ,1,1,1,0,1,4,124,3601
tas,Tay Schmedtmann,1,1,2,0,2,1,14056,11000
rore,Robin Resch,1,1,2,0,1,2,632,4912
maa,Marc Amacher ,1,1,2,0,1,3,4494,6286
bas,Boris Alexander Stein Bobby Lies,1,1,2,0,1,4,3333,26100
ankü,Andreas Kümmert,1,1,2,0,3,1,45930,11100
cs,Chris Schummert,1,1,2,0,2,2,1137,1122
jvh,Judith van Hel,1,1,1,0,2,3,421,7072
des,Debbie Schippers,1,1,1,0,2,4,58,7585
cas,Charley Ann Schmutzler,1,1,1,0,2,1,1303,497
lia,Linda Arndt,1,1,1,0,1,2,513,0
av,Andrei Vesa,1,1,2,0,2,3,166,66
maca,Marion Campbell,1,1,1,0,2,4,96,0
nt,Natia Todua,1,1,1,0,1,1,10273,24900
bk,Benedikt Köstler ,1,1,2,0,1,2,0,22400
anhe,Anna Heimrath ,1,1,1,0,1,3,0,716
bbt,BB Thomaz,1,1,1,0,1,4,25325,19500
mot,Motor Music ,2,2,0,0,0,0,0,1431
ren,Rent a Record Company,2,2,0,0,0,0,0,0
ver,Very Us Records ,2,2,0,0,0,0,0,0
pol,Polydor ,2,2,0,0,0,0,0,92900
wei,Weinstein Media,2,2,0,0,0,0,0,0
bmg,BMG,2,2,0,0,0,0,0,100
hol,Hollywood Record,2,2,0,0,0,0,0,267000
uni,Universal Music Group,2,2,0,0,0,0,0,957000
phr,PHONAG RECORDS,2,2,0,0,0,0,0,1108
air,Airforce1,2,2,0,0,0,0,0,1833
buc,Bucks Music Group,2,2,0,0,0,0,0,8071
monr,Monopol Record,2,2,0,0,0,0,0,0
imc,igroove.music ,2,2,0,0,0,0,0,12700
trg,ttc-records gbr,2,2,0,0,0,0,0,0
wmg,WM Germany,2,2,0,0,0,0,0,48100
rj,recordJet,2,2,0,0,0,0,0,5884
lgr,Love Gang Records,2,2,0,0,0,0,0,576
music,MusicHub,2,2,0,0,0,0,0,1423
song,Songborn,2,2,0,0,0,0,0,0
foc,focusonsound records,2,2,0,0,0,0,0,0
enf,Enforce Records,2,2,0,0,0,0,0,122000
rec,4912987 Records DK2,2,2,0,0,0,0,0,0
son,Sony Music,2,2,0,0,0,0,0,51500
