id,name,type,role,sex,Showkategorie,Charts,Platz,Spotify,Instagram 
pp,Peter Plate,1,5,2,99,2,99,3600000,14300
uls,Ulf Leo Sommer,1,5,2,99,1,99,3500000,2286
qua,Quarterhead,1,5,2,99,2,99,3436492,17700
hf,Helene Fischer ,1,5,1,99,4,99,2928573,1000000
shd,Shirin David,1,4,1,99,4,99,2269113,65000000
mon,Montez,1,5,2,99,4,99,2545502,228000
mf,Mark Forster,1,4,2,99,4,99,2186413,110000000
rg,Rea Garvey,1,4,2,99,4,99,1139244,339000
ub,Unknown Brain,1,5,3,99,1,99,1800386,24100
cjg,Christopher John Hutchings,1,5,2,99,1,99,1744837,1
ng,Noel Gallagher ,1,5,2,99,2,99,1261184,948000
mpk,Michael Patrick Kelly,1,4,2,99,3,99,1111783,3690000
sc,Sarah Connor,1,4,1,99,4,99,1094937,725000
mj,Madeline Juno ,1,5,1,99,3,99,1100691,829000
chh,Charming Horses,1,5,2,99,2,99,1100000,11900
ab,Andreas Bourani ,1,4,2,99,4,99,1041993,224000
esg,Esther Graf,1,5,1,99,2,99,1048181,49500
jo,Johannes Oerding,1,4,2,99,4,99,1018981,437000
gc,Graham Candy,1,5,2,99,2,99,1033036,10200
pm,Peter Maffay,1,4,2,99,4,99,802060,124000
lot,Lotte,1,5,1,99,2,99,1015441,108000
fk,Florian Künstler,1,5,2,99,2,99,1000574,86700
sil,Silbermond,2,5,3,99,4,99,879043,276000
ed,Elif Demirezer,1,4,1,99,4,99,789472,257000
fv,Fanta Vier ,1,4,2,99,4,99,757580,217000
ems,Emilio Sakraya Moutaoukkil,1,5,2,99,1,99,763273,591000
unse,Unser Lied für Israel,2,3,99,1,99,99,1,57
thb,TheBossHoss,1,4,2,99,4,99,650695,116000
xn,Xavier Naidoo,1,4,2,99,4,99,627825,439000
bmg,BMG,2,2,99,99,99,99,1,100
thir,Thirty 8 Records,2,2,99,99,99,99,1,153
bdd,Brianna Diannie Drain,1,5,1,99,1,99,724745,1
sono,sonokraft,2,2,99,99,99,99,1,318
gold,Golden Chocolate Records,2,2,99,99,99,99,1,389
mah,Max Herre,1,4,2,99,4,99,621016,76600
yc,Yvonne Catterfeld,1,4,1,99,4,99,277755,290000
pop,pop-out Musik,2,2,99,99,99,99,1,572
lgr,Love Gang Records,2,2,99,99,99,99,1,576
vom,Vomit Records,2,2,99,99,99,99,1,698
gz,Giovanni Zarrella,1,4,2,99,2,99,201107,370000
kni,Knightvision,2,2,99,99,99,99,1,912
eas,Easthaven Records,2,2,99,99,99,99,1,927
dra,Drakkar Entertainment,2,2,99,99,99,99,1,1023
phr,PHONAG RECORDS,2,2,99,99,99,99,1,1108
jaz,Jazzhaus Records,2,2,99,99,99,99,1,1128
sh,Samu Haber,1,4,2,99,2,99,98921,565000
goo,Good Luck Kid,2,2,99,99,99,99,1,1179
div,Diviners,1,5,2,99,1,99,625685,9816
maga,Martin Gallop,1,5,2,99,1,99,601590,1
idl,Ilse DeLang ,1,5,1,99,1,99,598395,189000
music,MusicHub,2,2,99,99,99,99,1,1423
mot,Motor Music ,2,2,99,99,99,99,1,1431
gira,Giraffenaffen ,2,3,99,1,99,99,377698,1571
is,ISAAK,1,5,2,99,2,99,464983,23600
air,Airforce1,2,2,99,99,99,99,1,1833
dh,Dominik Hartz,1,5,2,99,1,99,458240,10900
noxe,NO-X Entertainment,2,2,99,99,99,99,1,2027
moa,Morris Albert,1,5,2,99,1,99,405776,1
ret,Retrofuturemusic,2,2,99,99,99,99,1,2221
jah,James Hersey,1,5,2,99,2,99,359841,48500
kr,Kyle Reynolds,1,5,2,99,1,99,303066,1
bea,Beatgees,1,5,2,99,2,99,289351,3681
prom,Promiboxen,2,3,99,2,99,99,1,2478
tog,Toby Gad ,1,5,2,99,1,99,246430,21600
meg,Megaloh,1,5,2,99,2,99,222637,61000
sou,Sound Village ,2,2,99,99,99,99,1,2619
mis,mishka,1,5,2,99,1,99,215346,10800
gre,Greywood Records,2,2,99,99,99,99,1,2895
sq,Scott Quinn,1,5,2,99,1,99,209005,17300
neu,Neubau Music Publishing,2,2,99,99,99,99,1,3463
arm,Aron Matthews,1,5,2,99,1,99,177449,13300
obr,OBros,1,5,2,99,1,99,163386,88900
al,Alex Lys,1,5,2,99,1,99,146210,7319
frt,FRTYFVE,2,2,99,99,99,99,1,3872
nos,Noah Slee,1,5,2,99,1,99,128596,11400
sdlt,Sofi de la Toree,1,5,1,99,1,99,118855,21000
nip,Nicolai Potthoff,1,5,1,99,1,99,105813,10800
thea,Theater for the New City,2,3,99,3,99,99,1,4833
sk,Stefanie Kloß,1,4,1,99,2,99,25644,1
jcw,Jean-Cyrille Wittman,1,5,2,99,1,99,93849,2617
free,Free European Song Contest,2,3,99,1,99,99,1,5423
glo,Global Rockstar GmbH,2,2,99,99,99,99,1,5430
dg,Daniel Großmann,1,5,2,99,1,99,86022,1
rj,recordJet,2,2,99,99,99,99,1,5884
bud,Budde Music Publishing,2,2,99,99,99,99,1,6332
anl ,Anna Leyne,1,5,1,99,1,99,81350,571
jod,JODA,1,5,3,99,1,99,78839,4167
kls,Klaus Sahm,1,5,2,99,1,99,78533,7437
buc,Bucks Music Group,2,2,99,99,99,99,1,8071
thed,The Dome,2,3,99,1,99,99,1,8329
tem,Teo Mandrelli,1,5,2,99,1,99,77898,13100
fl,Felicia Lu Kürbiß,1,5,1,99,1,99,66663,55300
